,Class,Handicapped_Infants,Water_Project_Cost_Sharing,Adoption_Budget_Resolution,Physician_Fee_Freeze,El_Salvador_Aid,Religious_Groups_School,Anti_Satellite_Test_Ban,Aid_Nicaraguan_Contras,MX_Missile,Immigration,Synfuels_Corporation_Cutback,Education_Spending,Superfund_Right_To_Sue,Crime,Duty_Free_Exports,Export_Administration_Act_South_Africa,Class_republican
348,democrat,y,n,y,n,n,n,y,y,y,y,n,y,n,n,y,?,1
201,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,0
122,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,1
407,democrat,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,1
256,republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n,0
413,republican,y,y,y,y,y,y,y,y,n,y,?,?,?,y,n,y,1
285,democrat,n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y,0
164,democrat,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,?,1
283,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,0
4,democrat,y,y,y,n,y,y,n,n,n,n,y,?,y,y,y,y,1
233,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,1
368,democrat,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y,1
224,republican,n,y,n,y,y,y,n,n,n,y,n,?,y,y,n,n,1
185,democrat,y,n,y,n,n,n,y,y,y,y,n,?,n,n,y,y,0
173,democrat,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y,0
229,republican,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y,0
47,democrat,y,n,y,n,n,n,y,y,?,n,n,n,n,n,n,?,1
295,republican,n,y,n,y,y,y,?,?,n,y,n,y,?,?,?,?,1
214,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,1
286,democrat,n,n,y,n,n,y,?,y,?,y,y,y,n,y,y,?,0
309,democrat,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,y,0
5,democrat,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y,1
192,democrat,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y,0
422,democrat,n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y,0
354,democrat,n,y,y,n,n,y,y,y,y,y,n,?,n,n,y,y,0
273,republican,n,n,n,y,y,n,y,y,n,y,n,y,y,y,?,y,1
17,democrat,y,?,y,n,n,n,y,y,y,n,n,n,y,n,y,y,0
332,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,?,0
172,democrat,n,y,y,n,n,n,y,y,y,y,n,n,?,n,y,y,0
128,democrat,n,?,y,n,n,y,n,y,n,y,y,n,n,n,y,y,0
322,democrat,y,y,y,n,?,y,n,?,n,n,y,n,y,y,n,?,0
327,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,1
307,democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,?,0
161,democrat,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y,0
244,democrat,y,n,y,n,n,n,n,y,y,y,n,n,n,n,y,y,0
180,democrat,?,?,y,n,n,n,y,y,y,?,?,n,n,n,?,?,0
62,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,?,0
369,republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,1
29,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,0
171,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,1
293,democrat,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y,0
415,democrat,n,y,y,n,n,y,y,y,?,y,n,n,n,n,n,y,0
424,democrat,n,y,y,n,n,?,y,y,y,y,y,n,?,y,y,y,0
247,republican,n,y,n,y,y,y,?,n,n,n,n,?,y,y,n,n,1
67,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,1
249,democrat,y,n,y,n,n,n,y,y,?,n,y,n,n,n,y,y,0
417,democrat,y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y,0
208,democrat,n,n,y,n,n,n,y,y,y,n,n,?,n,n,y,y,0
119,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,1
338,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y,0
260,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,0
65,republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,1
289,democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,n,?,0
78,democrat,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y,0
386,democrat,n,?,y,n,y,y,n,y,n,n,y,n,n,n,n,?,0
242,republican,n,n,n,n,y,y,y,n,n,n,n,?,n,y,y,y,0
213,democrat,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y,0
414,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,0
221,democrat,n,y,y,n,y,y,n,n,n,n,y,n,n,n,y,?,0
206,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,1
421,democrat,n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y,0
366,democrat,y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,?,0
162,democrat,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y,1
284,democrat,n,n,y,n,n,y,y,y,y,y,y,n,n,n,?,y,0
6,democrat,n,y,n,y,y,y,n,n,n,n,n,n,?,y,y,y,1
343,republican,n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y,0
101,democrat,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y,0
359,republican,n,n,n,y,y,y,n,n,n,y,?,y,y,y,n,y,1
246,democrat,n,n,y,n,y,n,y,y,y,n,n,n,n,y,?,y,1
228,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,?,n,y,1
168,democrat,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,?,1
380,democrat,y,y,y,n,n,y,?,y,y,n,y,n,y,n,y,y,0
331,democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?,0
58,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,0
408,democrat,y,n,y,n,n,y,y,y,y,n,n,y,?,y,y,y,0
290,democrat,y,n,y,n,?,y,?,y,y,y,n,n,y,y,n,y,0
310,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n,1
207,republican,y,?,n,y,y,y,y,n,n,y,n,y,y,y,n,y,1
146,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,1
18,republican,n,y,n,y,y,y,n,n,n,n,n,?,y,y,n,n,1
40,democrat,y,y,y,n,n,n,y,y,y,n,?,n,n,n,n,?,0
90,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,0
277,republican,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y,1
117,republican,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y,1
364,republican,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y,1
251,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,1
431,democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,0
139,democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y,0
80,democrat,y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,?,0
46,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,0
218,democrat,y,?,y,n,n,n,y,y,y,n,?,n,n,n,y,?,0
85,democrat,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y,0
334,democrat,n,y,y,n,n,y,y,y,?,n,y,y,n,n,y,y,0
81,democrat,y,n,y,n,n,n,y,y,?,y,y,y,n,y,n,y,0
107,republican,n,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,1
261,democrat,y,n,y,n,n,?,y,y,y,n,?,?,n,?,?,?,0
389,democrat,y,n,y,n,n,n,y,y,y,?,y,n,n,n,y,?,0
394,democrat,y,y,?,?,?,y,n,n,n,n,y,n,y,n,n,y,0
132,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,?,1
